number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_batch_size,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.7944624423980713,0.01056902389973402,1.9092903137207031,0.027336904779076576,2022-08-11 16:50:25.292935,2022-08-11 17:10:31.699285,0 days 00:20:06.406350,21,256,0.1,0.95,256,21,512,3,2.0,0.0001,2,0,0,64,1.0,4,1,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
1,2.1709001064300537,0.013023448176681995,2.2512197494506836,0.02878381498157978,2022-08-11 17:10:31.700393,2022-08-11 17:28:52.683556,0 days 00:18:20.983163,21,256,0.1,0.95,256,21,512,3,2.0,0.0001,1,0,0,64,1.0,4,0,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
2,1.3125137090682983,0.011348533444106579,1.660181999206543,0.03502533957362175,2022-08-11 17:28:52.684367,2022-08-11 17:50:58.375822,0 days 00:22:05.691455,21,256,0.1,0.95,256,21,512,3,2.0,0.0001,7,0,0,64,1.0,4,6,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
3,1.5465377569198608,0.008992457762360573,1.7136473655700684,0.027649028226733208,2022-08-11 17:50:58.376851,2022-08-11 18:11:07.854556,0 days 00:20:09.477705,21,256,0.1,0.95,256,21,512,3,2.0,0.0001,4,0,0,64,1.0,4,3,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
4,1.3991130590438843,0.009500646963715553,1.6581894159317017,0.0319485142827034,2022-08-11 18:11:07.855415,2022-08-11 18:32:08.036355,0 days 00:21:00.180940,21,256,0.1,0.95,256,21,512,3,2.0,0.0001,5,0,0,64,1.0,4,4,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
5,1.3646109104156494,0.00846099853515625,1.643993616104126,0.02778935432434082,2022-08-11 18:32:08.037253,2022-08-11 18:53:48.186016,0 days 00:21:40.148763,21,256,0.1,0.95,256,21,512,3,2.0,0.0001,6,0,0,64,1.0,4,5,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
6,1.2400518655776978,0.0067702531814575195,1.6637609004974365,0.02343137003481388,2022-08-11 18:53:48.187041,2022-08-11 19:18:57.745559,0 days 00:25:09.558518,21,256,0.1,0.95,256,21,512,3,2.0,0.0001,9,0,0,64,1.0,4,8,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
7,1.3097236156463623,0.0062021734192967415,1.657027244567871,0.03329767659306526,2022-08-11 19:18:57.746447,2022-08-11 19:42:39.179655,0 days 00:23:41.433208,21,256,0.1,0.95,256,21,512,3,2.0,0.0001,8,0,0,64,1.0,4,7,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
8,1.2649726867675781,0.0064702751114964485,1.6613779067993164,0.027372581884264946,2022-08-11 19:42:39.180776,2022-08-11 20:10:30.640731,0 days 00:27:51.459955,21,256,0.1,0.95,256,21,512,3,2.0,0.0001,10,0,0,64,1.0,4,9,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
9,1.6310980319976807,0.009064435958862305,1.7791659832000732,0.029875993728637695,2022-08-11 20:10:30.641533,2022-08-11 20:30:28.868689,0 days 00:19:58.227156,21,256,0.1,0.95,256,21,512,3,2.0,0.0001,3,0,0,64,1.0,4,2,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
