number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.7443963289260864,0.006169716361910105,1.9214826822280884,0.02348613739013672,2022-08-10 09:57:20.959719,2022-08-10 10:19:48.395990,0 days 00:22:27.436271,21,512,0.1,0.95,21,512,3,2.0,0.0001,2,1,0,128,1.0,3,1,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
1,2.1655757427215576,0.009591500274837017,2.2761754989624023,0.013164997100830078,2022-08-10 10:19:48.398052,2022-08-10 10:42:35.258408,0 days 00:22:46.860356,21,512,0.1,0.95,21,512,3,2.0,0.0001,1,1,0,128,1.0,3,0,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
2,1.024101734161377,0.0059390864335000515,1.539226770401001,0.03399300575256348,2022-08-10 10:42:35.259163,2022-08-10 11:07:39.859365,0 days 00:25:04.600202,21,512,0.1,0.95,21,512,3,2.0,0.0001,7,1,0,128,1.0,3,6,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
3,1.4755616188049316,0.006581902503967285,1.6838734149932861,0.02033531665802002,2022-08-10 11:07:39.860327,2022-08-10 11:30:40.802293,0 days 00:23:00.941966,21,512,0.1,0.95,21,512,3,2.0,0.0001,4,1,0,128,1.0,3,3,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
4,1.3357490301132202,0.008794744499027729,1.5988585948944092,0.017899155616760254,2022-08-10 11:30:41.138005,2022-08-10 11:51:59.100368,0 days 00:21:17.962363,21,512,0.1,0.95,21,512,3,2.0,0.0001,5,1,0,128,1.0,3,4,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
5,1.1026984453201294,0.007769743446260691,1.544488787651062,0.012468099594116211,2022-08-10 11:51:59.101563,2022-08-10 12:13:32.861853,0 days 00:21:33.760290,21,512,0.1,0.95,21,512,3,2.0,0.0001,6,1,0,128,1.0,3,5,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
6,0.8749843239784241,0.008754570968449116,1.6346218585968018,0.02557659149169922,2022-08-10 12:13:32.862575,2022-08-10 12:35:02.253310,0 days 00:21:29.390735,21,512,0.1,0.95,21,512,3,2.0,0.0001,9,1,0,128,1.0,3,8,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
7,0.9518750309944153,0.00675181532278657,1.6154433488845825,0.012487530708312988,2022-08-10 12:35:02.254874,2022-08-10 12:56:47.394910,0 days 00:21:45.140036,21,512,0.1,0.95,21,512,3,2.0,0.0001,8,1,0,128,1.0,3,7,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
8,0.9041802883148193,0.004624207969754934,1.6344438791275024,0.018766403198242188,2022-08-10 12:56:47.396579,2022-08-10 13:19:15.691497,0 days 00:22:28.294918,21,512,0.1,0.95,21,512,3,2.0,0.0001,10,1,0,128,1.0,3,9,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
9,1.5777150392532349,0.004805644508451223,1.7576147317886353,0.015008687973022461,2022-08-10 13:19:15.692959,2022-08-10 13:38:00.883862,0 days 00:18:45.190903,21,512,0.1,0.95,21,512,3,2.0,0.0001,3,1,0,128,1.0,3,2,"OrderedDict([('num_dil_rates', [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])])",COMPLETE
